fecha,placa,código,mina,mpio,pesent,pessal,peso_bas,horaentra,horasal,humedad,cenizas,volatil,azufre,pcal,p_correg,f_b,t_mcal,cod_m,
09/06/2015,XID073,451/474/01/3,ACERO TAPIAS CARLOS HUMBERTO SPO036-112,TOPAGA                   ,57160,18900,38260,01:03:04 p.m.,01:16:03 p.m.,4.74,11.85,37.36,1.26,6649.75,38595.92,1.00878,256653.22,58235442_,
09/06/2015,SST246,451/474/01/4,ACERO TAPIAS CARLOS HUMBERTO SPO036-112,TOPAGA                   ,43210,15120,28090,03:03:26 p.m.,03:13:23 p.m.,4.74,11.85,37.36,1.26,6649.75,28336.63,1.00878,188431.51,58235442_,
09/06/2015,TAL974,451/474/01/5,ACERO TAPIAS CARLOS HUMBERTO SPO036-112,TOPAGA                   ,58210,18750,39460,03:19:52 p.m.,03:39:11 p.m.,4.74,11.85,37.36,1.26,6649.75,39806.46,1.00878,264703.01,58235442_,
09/06/2015,XID073,451/474/01/6,ACERO TAPIAS CARLOS HUMBERTO SPO036-112,TOPAGA                   ,57080,19060,38020,04:04:44 p.m.,04:18:25 p.m.,4.74,11.85,37.36,1.26,6649.75,38353.82,1.00878,255043.31,58235442_,
10/06/2015,XID073,451/474/01/7,ACERO TAPIAS CARLOS HUMBERTO SPO036-112,TOPAGA                   ,57490,19010,38480,08:05:34 a.m.,08:25:56 a.m.,4.74,11.85,37.36,1.26,6649.75,38817.85,1.00878,258129.00,58235442_,
10/06/2015,XID073,451/474/01/8,ACERO TAPIAS CARLOS HUMBERTO SPO036-112,TOPAGA                   ,56540,18940,37600,10:38:41 a.m.,11:01:38 a.m.,4.74,11.85,37.36,1.26,6649.75,37930.13,1.00878,252225.88,58235442_,
10/06/2015,XID073,451/474/01/9,ACERO TAPIAS CARLOS HUMBERTO SPO036-112,TOPAGA                   ,57660,18860,38800,02:45:30 p.m.,02:57:50 p.m.,4.74,11.85,37.36,1.26,6649.75,39140.66,1.00878,260275.60,58235442_,
11/06/2015,XID073,451/474/01/10,ACERO TAPIAS CARLOS HUMBERTO SPO036-112,TOPAGA                   ,57340,19040,38300,08:00:33 a.m.,08:14:54 a.m.,4.74,11.85,37.36,1.26,6649.75,38636.27,1.00878,256921.54,58235442_,
11/06/2015,XID073,451/474/01/11,ACERO TAPIAS CARLOS HUMBERTO SPO036-112,TOPAGA                   ,58120,18970,39150,10:22:29 a.m.,10:34:01 a.m.,4.74,11.85,37.36,1.26,6649.75,39493.74,1.00878,262623.50,58235442_,
11/06/2015,XID073,451/474/01/12,ACERO TAPIAS CARLOS HUMBERTO SPO036-112,TOPAGA                   ,57940,19010,38930,02:47:43 p.m.,03:01:32 p.m.,4.74,11.85,37.36,1.26,6649.75,39271.81,1.00878,261147.72,58235442_,
